"To resume the subscription, please follow the","Za nastavak trajne narudžba, molimo popratite"
"Total incl. tax","Ukupno s porezom"
"Total","Ukupno"
"Track order","Prati narudžbu"
"Unsubscription","Unsubscription"
"Use radio buttons for selecting subscription type","Koristite dugmad za odabir tipa trajne narudžba"
"Website","Website"
"Weeks","Tjedana"
"We would like to inform that your subscription starts at %s","Želimo vas obavijestiti da vaša trajna narudžba počinje %s"
"We would like to remind you that your","Želimo vas podsjetiti da vaša"
"XML","XML"
"Years","Godina"
"Yes","Da"
"You can also buy this product using subscription but in this case you should","Možete kupiti trajnom narudžbom i ovaj proizvod, ali tad bi trebali"
"You can change payment method after first delivery","Možete promjeniti način plaćanja nakon prve dostave"
"You have canceled","Poništili ste"
"You have no subscription payments yet.","Nemate još računa za trajnu narudžbu."
"You have no subscriptions","Nemate trajnih narudžbi"
"You have subscribed to","Preplatili ste se na"
"ZIP","PP"
"Period type(s)","Tip(ovi) perioda"
"Subscription Price","Cijena Trajne Narudžba"
"First period price","Cijena prve narudžbe"
"On subscription, move to group","Na prijavi za trajnu narudžbu, pomakni u grupu"
"On unsubscription/expiry, move to group","Na odjavi/isteku trajne narudžbe, pomakni u grupu"
"Shipping cost","Cijena dostave"
"Allow guest subscriptions","Dozvoli trajnu narudžbu za gosta"
"Repeat each","Ponovi svakih"
"Expires After","Istječe nakon"
"Exclude Weekdays","Isključi dane"
"Require payment before, days","Traži naplatu prije (dana)"
"Subscription Start","Početak trajne narudžbe"
"Subscription End","Kraj trajne narudžbe"
"Next Payment","Sljedeći Račun"
"Next Delivery","Sljedeća Dostava"
"Subscription type","Tip trajne narudžbe"
"Last order state","Status zadnje narudžbe"
"Last Order Amount","Iznos zadnje narudžbe"
"Subscribers list","Lista preplatnika trajne narudžbe"
"Periodicity","Periodi"
"Subscriptions Alerts","Obavijesti trajne narudžbe"
"Downloadable subscription/recurring payment","Plaćanje trajne narudžbe (downloadable)"
"Configurable subscription/recurring payment","Plaćanje trajne narudžbe (konfigurabilno)"
"Grouped subscription/recurring payment","Plaćanje trajne narudžbe (grupirano)"
"Show \"Next payment\" column at customer account","Prikaz stupca \"Sljedeća naplata\" kupcu"
"Show \"Next delivery\" column at customer account","Prikaz stupca \"Sljedeća dostava\" kupcu"
"Show \"Order amount\" column at customer account","Prikaz stupca \"Iznos narudžbe\" kupcu"
"Show \"Expire date\" column at customer account","Prikaz stupca \"Istječe\" kupcu"
"Activate on order status","Aktiviraj narudžbu status"
"Alerts sender","Pošiljatelj obavijesti"
"No subsription","Bez trajne narudžbe"
"Delivery notice","Napomena dostavljaču"
"Subscription from","Trajna narudžba od"
"Last order amount","Iznos zadnje narudžbe"
"No subscription","Bez trajne narudžbe"
"Delivery Notice","Napomena dostavljaču"
"My subscriptions","Moje trajne narudžbe"
"My Subscriptions","Moje trajne narudžbe"
"First Period Price","Cijena prvog perioda"
"This subscription isn\'t belong this customer!","Ova trajna narudžba ne pripada ovom kupcu!"
"Oops! Something going wrong and now you have suspended subscriptions.","Ups! Nešto je pošlo po krivu i sad imate suspendirane trajne narudžbe."
"You have suspended subscriptions!","Imate suspendirane trajne narudžbe!"
"Period must be more 0","Period mora biti veći od 0"
"Can not save period. %s","Nije moguće spremiti period. %s"
"SAVE WITH AUTOSHIP! Learn more.","UŠTEDI SA TRAJNOM NARUDŽBOM! Saznaj više."
"SAVE UP TO %s WITH AUTOSHIP! Learn more.","UŠTEDI DO %s SA TRAJNOM NARUDŽBOM! Saznaj više."
"bottle","bočica"
"bottles","bočice"
"Pricing","Cijene"
"Each","Svaki"
